label,category,condition,peak,fired
00083_okay-jarvis_Fred_noisy0.wav,near_miss,noisy0,,0
00082_okay-jarvis_Karen_noisy20.wav,near_miss,noisy20,,1
00088_hey-jervis_Samantha_clean.wav,near_miss,clean,,1
00094_hey-jervis_Albert_clean.wav,near_miss,clean,,0
00091_hey-jervis_Fred_clean.wav,near_miss,clean,,1
00101_hey-charmless_Ralph_reverb.wav,near_miss,reverb,,0
00102_hey-charmless_Albert_noisy10.wav,near_miss,noisy10,,0
00099_hey-charmless_Fred_clean.wav,near_miss,clean,,1
00108_they-marvis_Kathy_clean.wav,near_miss,clean,,0
00111_they-marvis_Flo_noisy0.wav,near_miss,noisy0,,0
00109_they-marvis_Ralph_quiet.wav,near_miss,quiet,,0
00114_hey-service_Karen_quiet.wav,near_miss,quiet,,1
00118_hey-service_Albert_noisy5.wav,near_miss,noisy5,,0
00114_hey-service_Karen_noisy0.wav,near_miss,noisy0,,0
bg_00022.wav,background,speech,,0
bg_00024.wav,background,speech,,0
bg_00012.wav,background,speech,,0
bg_00137.wav,background,speech,,0
bg_00167.wav,background,speech,,0
bg_00101.wav,background,speech,,0
bg_00152.wav,background,speech,,0
bg_00065.wav,background,speech,,0
bg_00159.wav,background,speech,,0
bg_00176.wav,background,speech,,0
