label,category,condition,peak,fired,duration_ms
00122_hey-jarvis_Rishi_180_noisy5.wav,positive,noisy,0.505,1,3280
00035_hey-jarvis_Ralph_def_quiet.wav,positive,quiet,0.995,1,3440
00037_hey-jarvis_Ralph_160_quiet.wav,positive,quiet,0.998,1,3360
00038_hey-jarvis_Ralph_180_quiet.wav,positive,quiet,0.999,1,3280
00039_hey-jarvis_Ralph_200_quiet.wav,positive,quiet,0.992,1,3200
00094_hey-jarvis_Sandy_180_quiet.wav,positive,quiet,0.929,1,3200
00108_hey-jarvis_Tessa_180_quiet.wav,positive,quiet,0.970,1,3280
00047_hey-jarvis_Albert_220_reverb.wav,positive,reverb,0.458,0,3120
00084_hey-jarvis_Rocko_def_reverb.wav,positive,reverb,0.295,0,3280
00107_hey-jarvis_Tessa_160_reverb.wav,positive,reverb,0.986,1,3280
00117_hey-jarvis_Moira_220_reverb.wav,positive,reverb,0.957,1,3120
