label,category,condition,peak,fired,peak_rms
00063_Tessa_240_noisy0.wav,positive,noisy0,0.749,,3462
00010_Karen_200_noisy0.wav,positive,noisy0,0.118,,4352
00015_Fred_240_noisy0.wav,positive,noisy0,0.494,,1908
00049_Rocko_160_noisy0.wav,positive,noisy0,0.187,,4084
00030_Flo_200_noisy0.wav,positive,noisy0,0.009,,4217
00012_Fred_def_noisy0.wav,positive,noisy0,0.353,,2410
00006_hey-jeremy_Albert_noisy20.wav,near_miss,noisy20,0.456,,2460
00007_hey-jeremy_Flo_reverb.wav,near_miss,reverb,0.010,,1776
00006_hey-jeremy_Albert_noisy10.wav,near_miss,noisy10,0.156,,2674
00015_hey-travis_Flo_noisy10.wav,near_miss,noisy10,0.473,,3933
00009_hey-travis_Daniel_noisy0.wav,near_miss,noisy0,0.111,,4500
00014_hey-travis_Albert_reverb.wav,near_miss,reverb,0.057,,7947
00020_hi-jarvis_Kathy_reverb.wav,near_miss,reverb,0.450,,3504
00023_hi-jarvis_Flo_quiet.wav,near_miss,quiet,0.199,,1597
00018_hi-jarvis_Karen_noisy5.wav,near_miss,noisy5,0.134,,4010
00024_a-jarvis_Samantha_noisy5.wav,near_miss,noisy5,0.043,,3996
00031_a-jarvis_Flo_clean.wav,near_miss,clean,0.016,,5017
00025_a-jarvis_Daniel_noisy20.wav,near_miss,noisy20,0.275,,3146
00038_hey-there_Albert_noisy20.wav,near_miss,noisy20,0.146,,1776
00032_hey-there_Samantha_quiet.wav,near_miss,quiet,0.268,,1947
00038_hey-there_Albert_reverb.wav,near_miss,reverb,0.022,,6265
00045_hey-darkness_Ralph_noisy10.wav,near_miss,noisy10,0.209,,1831
00040_hey-darkness_Samantha_quiet.wav,near_miss,quiet,0.008,,2507
00044_hey-darkness_Kathy_noisy20.wav,near_miss,noisy20,0.497,,3635
00052_jarvis_Kathy_reverb.wav,near_miss,reverb,0.012,,4128
00051_jarvis_Fred_noisy20.wav,near_miss,noisy20,0.969,,1634
00053_jarvis_Ralph_noisy20.wav,near_miss,noisy20,0.485,,2044
00056_hey-alexa_Samantha_noisy5.wav,near_miss,noisy5,0.023,,3380
00063_hey-alexa_Flo_noisy5.wav,near_miss,noisy5,0.038,,2008
00060_hey-alexa_Kathy_noisy10.wav,near_miss,noisy10,0.005,,2703
00071_hey-harris_Flo_noisy0.wav,near_miss,noisy0,0.210,,3282
00070_hey-harris_Albert_clean.wav,near_miss,clean,0.021,,6438
00069_hey-harris_Ralph_reverb.wav,near_miss,reverb,0.494,,3461
00075_hey-james_Fred_reverb.wav,near_miss,reverb,0.123,,1889
00076_hey-james_Kathy_reverb.wav,near_miss,reverb,0.043,,3125
00074_hey-james_Karen_noisy5.wav,near_miss,noisy5,0.126,,3179
00080_okay-jarvis_Samantha_noisy5.wav,near_miss,noisy5,0.426,,4019
00083_okay-jarvis_Fred_noisy0.wav,near_miss,noisy0,0.789,,2018
00082_okay-jarvis_Karen_noisy20.wav,near_miss,noisy20,0.803,,3944
00088_hey-jervis_Samantha_clean.wav,near_miss,clean,0.982,,2737
00094_hey-jervis_Albert_clean.wav,near_miss,clean,0.626,,1817
00091_hey-jervis_Fred_clean.wav,near_miss,clean,0.942,,1963
00101_hey-charmless_Ralph_reverb.wav,near_miss,reverb,0.882,,3445
00102_hey-charmless_Albert_noisy10.wav,near_miss,noisy10,0.861,,4435
00099_hey-charmless_Fred_clean.wav,near_miss,clean,0.997,,2030
00108_they-marvis_Kathy_clean.wav,near_miss,clean,0.005,,3364
00111_they-marvis_Flo_noisy0.wav,near_miss,noisy0,0.170,,3903
00109_they-marvis_Ralph_quiet.wav,near_miss,quiet,0.007,,1117
00114_hey-service_Karen_quiet.wav,near_miss,quiet,0.001,,1558
00118_hey-service_Albert_noisy5.wav,near_miss,noisy5,0.111,,2993
00114_hey-service_Karen_noisy0.wav,near_miss,noisy0,0.145,,3813
bg_00022.wav,background,speech,0.001,,7185
bg_00024.wav,background,speech,0.001,,5077
bg_00012.wav,background,speech,0.002,,6316
bg_00137.wav,background,speech,0.002,,6833
bg_00167.wav,background,speech,0.001,,3443
bg_00101.wav,background,speech,0.004,,4043
bg_00152.wav,background,speech,0.040,,3284
bg_00065.wav,background,speech,0.002,,12602
bg_00159.wav,background,speech,0.003,,3241
bg_00176.wav,background,speech,0.000,,5014
