label,category,condition,peak,fired,duration_ms
00090_hey-marvis_Karen_noisy10.wav,near_miss,noisy,0.012,0,1786
00092_hey-marvis_Kathy_noisy0.wav,near_miss,noisy,0.455,0,1951
00097_a-jarvis_Daniel_noisy10.wav,near_miss,noisy,0.831,1,1669
00104_hey-jarvus_Samantha_reverb.wav,near_miss,reverb,0.644,1,1697
00113_hey-jarvahs_Daniel_noisy10.wav,near_miss,noisy,0.992,1,1799
00116_hey-jarvahs_Kathy_noisy5.wav,near_miss,noisy,0.336,0,1928
00124_hey-Jerry_Kathy_noisy10.wav,near_miss,noisy,0.048,0,1684
00125_hey-Jerry_Ralph_reverb.wav,near_miss,reverb,0.017,0,1684
00126_hey-Jerry_Albert_reverb.wav,near_miss,reverb,0.118,0,1881
00131_hey-Chris_Fred_noisy10.wav,near_miss,noisy,0.011,0,1730
00143_hi-jarvis_Flo_noisy0.wav,near_miss,noisy,0.809,1,1870
00159_yo-jarvis_Flo_noisy0.wav,near_miss,noisy,0.475,0,1810
00160_jarvis_Samantha_noisy10.wav,near_miss,noisy,0.999,1,1474
00170_jarvis-jarvis_Karen_noisy10.wav,near_miss,noisy,0.359,0,2025
00177_hey-alexa_Daniel_noisy5.wav,near_miss,noisy,0.000,0,1694
00179_hey-alexa_Fred_clean.wav,near_miss,clean,0.002,0,1765
00186_hey-there_Karen_noisy0.wav,near_miss,noisy,0.106,0,1508
00189_hey-there_Ralph_noisy20.wav,near_miss,noisy,0.002,0,1661
00193_hey-google_Daniel_noisy5.wav,near_miss,noisy,0.000,0,1590
00206_hey-siri_Albert_reverb.wav,near_miss,reverb,0.011,0,1905
00209_okay-google_Daniel_noisy20.wav,near_miss,noisy,0.000,0,1755
00210_okay-google_Karen_clean.wav,near_miss,clean,0.000,0,1761
00214_okay-google_Albert_quiet.wav,near_miss,quiet,0.002,0,2143
00004_hey-jarvis_Samantha_200_noisy5.wav,positive,noisy,0.997,1,1619
00009_hey-jarvis_Daniel_160_noisy0.wav,positive,noisy,0.983,1,1799
00020_hey-jarvis_Karen_240_noisy20.wav,positive,noisy,0.996,1,1584
00025_hey-jarvis_Fred_200_noisy0.wav,positive,noisy,0.315,0,1754
00027_hey-jarvis_Fred_240_noisy10.wav,positive,noisy,0.999,1,1614
00028_hey-jarvis_Kathy_def_noisy0.wav,positive,noisy,0.427,0,1974
00031_hey-jarvis_Kathy_180_noisy5.wav,positive,noisy,0.335,0,1858
00032_hey-jarvis_Kathy_200_clean.wav,positive,clean,0.999,1,1754
00035_hey-jarvis_Ralph_def_noisy20.wav,positive,noisy,0.959,1,1974
00035_hey-jarvis_Ralph_def_quiet.wav,positive,quiet,0.989,1,1974
00036_hey-jarvis_Ralph_140_noisy20.wav,positive,noisy,0.978,1,1951
00037_hey-jarvis_Ralph_160_quiet.wav,positive,quiet,0.998,1,1916
00038_hey-jarvis_Ralph_180_noisy0.wav,positive,noisy,0.728,1,1858
00038_hey-jarvis_Ralph_180_quiet.wav,positive,quiet,0.929,1,1858
00039_hey-jarvis_Ralph_200_noisy10.wav,positive,noisy,0.957,1,1754
00039_hey-jarvis_Ralph_200_quiet.wav,positive,quiet,0.993,1,1754
00043_hey-jarvis_Albert_140_clean.wav,positive,clean,0.999,1,1951
00043_hey-jarvis_Albert_140_noisy20.wav,positive,noisy,0.998,1,1951
00045_hey-jarvis_Albert_180_noisy5.wav,positive,noisy,0.989,1,1858
00047_hey-jarvis_Albert_220_reverb.wav,positive,reverb,0.404,0,1684
00050_hey-jarvis_Flo_140_noisy0.wav,positive,noisy,0.970,1,1960
00053_hey-jarvis_Flo_200_noisy0.wav,positive,noisy,0.476,0,1740
00059_hey-jarvis_Grandma_180_noisy10.wav,positive,noisy,0.976,1,1820
00060_hey-jarvis_Grandma_200_noisy20.wav,positive,noisy,0.986,1,1730
00068_hey-jarvis_Grandpa_220_noisy10.wav,positive,noisy,0.990,1,1710
00071_hey-jarvis_Junior_140_noisy10.wav,positive,noisy,0.997,1,1951
00082_hey-jarvis_Reed_220_clean.wav,positive,clean,0.999,1,1710
00084_hey-jarvis_Rocko_def_reverb.wav,positive,reverb,0.995,1,1840
00091_hey-jarvis_Sandy_def_noisy20.wav,positive,noisy,0.983,1,1770
00094_hey-jarvis_Sandy_180_noisy20.wav,positive,noisy,0.952,1,1770
00094_hey-jarvis_Sandy_180_quiet.wav,positive,quiet,0.997,1,1770
00098_hey-jarvis_Shelley_def_noisy20.wav,positive,noisy,0.778,1,1840
00104_hey-jarvis_Shelley_240_noisy0.wav,positive,noisy,0.523,1,1630
00107_hey-jarvis_Tessa_160_reverb.wav,positive,reverb,0.962,1,1837
00108_hey-jarvis_Tessa_180_noisy20.wav,positive,noisy,0.989,1,1837
00108_hey-jarvis_Tessa_180_quiet.wav,positive,quiet,0.996,1,1837
00109_hey-jarvis_Tessa_200_noisy10.wav,positive,noisy,0.895,1,1735
00113_hey-jarvis_Moira_140_noisy5.wav,positive,noisy,0.996,1,1892
00115_hey-jarvis_Moira_180_clean.wav,positive,clean,0.999,1,1802
00117_hey-jarvis_Moira_220_reverb.wav,positive,reverb,0.985,1,1634
00121_hey-jarvis_Rishi_160_noisy5.wav,positive,noisy,0.908,1,1802
00122_hey-jarvis_Rishi_180_noisy5.wav,positive,noisy,0.994,1,1802
